ID,Region,Date of arrival at Safe House,Age on arrival in years,District,Religion,Type of case,Who brought her to the Safe House,Suggestion from social welfare officer,Immediate needs on arrival,Health Status,School
712,Mara,11/5/2019,10,Butiam,christian,violence,religious leader,short term protection,Other,Heathy,0
713,Mara,12/3/2019,13,Butiam,christian,violence,came herself,short term protection,Other,Heathy,0
714,Mara,10/1/2019,13,Butiam,christian,violence,came herself,short term protection,Clothes,Heathy,1
715,Mara,11/5/2019,9,Butiam,christian,violence,community member,short term protection,Counselling,Heathy,0
716,Mara,11/5/2019,13,Butiam,christian,fgm,came herself,short term protection,Other,Heathy,0
717,Mara,11/5/2019,13,Butiam,christian,violence,religious leader,short term protection,Counselling,Heathy,0
718,Mara,11/5/2019,13,Butiam,christian,violence,community member,short term protection,Other,Heathy,0
719,Mara,11/5/2019,13,Butiam,christian,fgm,came herself,short term protection,Other,Heathy,0
720,Mara,9/25/2019,13,Tarime,christian,violence,religious leader,short term protection,Other,Heathy,0
721,Mara,11/6/2019,12,Tarime,christian,violence,community member,short term protection,Shoes,Heathy,1
722,Mara,7/10/2019,13,Butiam,christian,fgm,community member,short term protection,Other,Heathy,0
723,Mara,10/23/2019,18,Butiam,christian,fgm,came herself,short term protection,Counselling,Heathy,0
724,Mara,12/4/2019,16,Butiam,christian,violence,community member,short term protection,Other,Heathy,0
725,Mara,12/3/2019,16,Butiam,christian,violence,came herself,short term protection,Other,Heathy,0
726,Mara,9/11/2019,19,Butiam,christian,violence,came herself,short term protection,Other,Heathy,0
727,Mara,12/6/2018,15,Tarime,christian,fgm,volunteer,prosecution,Other,Heathy,1
728,Mara,12/28/2017,10,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,0
729,Mara,11/4/2017,12,Tarime,christian,child marriage,came herself,short term protection,Counselling,Heathy,0
730,Mara,12/2/2017,13,Tarime,christian,child marriage,religious leader,short term protection,Counselling,Heathy,0
731,Mara,11/3/2018,13,Butiam,christian,child marriage,came herself,short term protection,Counselling,Heathy,0
732,Mwanza,11/3/2018,15,Magu,christian,child marriage,religious leader,short term protection,Counselling,Heathy,0
733,Mara,12/8/2018,15,Butiam,christian,child marriage,school teacher,short term protection,Counselling,Heathy,0
734,Mara,11/10/2018,15,Tarime,christian,rape,community member,short term protection,Counselling,Heathy,0
735,Mara,11/10/2018,13,Butiam,christian,rape,religious leader,short term protection,Counselling,Heathy,0
736,Mara,11/3/2018,14,Tarime,christian,violence,community member,short term protection,Counselling,Heathy,0
737,Mara,12/15/2018,12,Tarime,christian,fgm,volunteer,short term protection,Counselling,Heathy,0
738,Mara,12/8/2018,13,Tarime,christian,violence,volunteer,short term protection,Counselling,Heathy,0
739,Mara,1/5/2018,12,Tarime,christian,rape,volunteer,short term protection,Counselling,Heathy,0
740,Mara,12/9/2017,10,Tarime,christian,violence,volunteer,short term protection,Counselling,Heathy,0
741,Mara,12/8/2018,8,Tarime,christian,violence,police,short term protection,Counselling,Heathy,0
742,Mara,12/8/2018,6,Butiam,christian,violence,police,short term protection,Counselling,Heathy,0
743,Mara,12/8/2018,16,Butiam,christian,rape,police,short term protection,Counselling,UTI,0
744,Mara,12/8/2018,15,Tarime,christian,fgm,police,short term protection,Counselling,Heathy,1
745,Mara,11/10/2018,12,Tarime,christian,rape,police,short term protection,Counselling,Heathy,0
746,Mara,12/8/2018,12,Tarime,christian,fgm,police,short term protection,Counselling,Heathy,0
747,Mara,12/8/2018,14,Tarime,christian,fgm,police,short term protection,Counselling,Heathy,0
748,Mara,12/2/2017,12,Butiam,christian,fgm,police,short term protection,Counselling,Heathy,0
749,Mara,11/3/2018,14,Tarime,christian,rape,police,short term protection,Counselling,Heathy,0
750,Mara,12/8/2018,24,Butiam,christian,rape,police,short term protection,Counselling,Heathy,0
